game_id,result,winner,number_of_moves,ended_in_draw,winning_line,move_history
28,X Win,X,9,False,"(6, 7, 8)","[8, 4, 9, 5, 6, 2, 1, 3, 7]"
29,O Win,O,6,False,"(1, 4, 7)","[6, 8, 4, 5, 1, 2]"
30,X Win,X,7,False,"(0, 1, 2)","[1, 8, 7, 4, 2, 5, 3]"
31,X Win,X,9,False,"(1, 4, 7)","[4, 9, 2, 6, 3, 7, 5, 1, 8]"
32,X Win,X,7,False,"(0, 3, 6)","[8, 2, 1, 9, 7, 3, 4]"
33,X Win,X,7,False,"(3, 4, 5)","[4, 3, 6, 7, 8, 2, 5]"
34,Draw,None,9,True,None,"[1, 4, 6, 2, 8, 7, 5, 9, 3]"
35,X Win,X,7,False,"(0, 4, 8)","[9, 8, 2, 3, 5, 4, 1]"
36,X Win,X,7,False,"(6, 7, 8)","[9, 1, 7, 4, 2, 3, 8]"
37,O Win,O,6,False,"(2, 4, 6)","[8, 3, 1, 7, 2, 5]"
38,X Win,X,7,False,"(6, 7, 8)","[2, 3, 8, 4, 7, 1, 9]"
39,O Win,O,8,False,"(0, 1, 2)","[4, 1, 7, 2, 8, 6, 5, 3]"
40,O Win,O,8,False,"(6, 7, 8)","[6, 4, 3, 7, 2, 8, 5, 9]"
41,Draw,None,9,True,None,"[2, 1, 6, 8, 9, 3, 4, 5, 7]"
42,X Win,X,7,False,"(0, 1, 2)","[3, 7, 1, 4, 6, 8, 2]"
43,O Win,O,6,False,"(0, 4, 8)","[8, 5, 6, 9, 7, 1]"
44,O Win,O,8,False,"(3, 4, 5)","[9, 5, 7, 1, 3, 6, 2, 4]"
45,X Win,X,7,False,"(6, 7, 8)","[9, 3, 4, 5, 8, 2, 7]"
46,O Win,O,8,False,"(0, 3, 6)","[6, 4, 8, 9, 3, 7, 2, 1]"
47,Draw,None,9,True,None,"[2, 8, 9, 4, 1, 3, 6, 5, 7]"
48,X Win,X,9,False,"(2, 4, 6)","[3, 9, 6, 8, 5, 1, 2, 4, 7]"
49,X Win,X,5,False,"(6, 7, 8)","[9, 1, 8, 4, 7]"
50,X Win,X,5,False,"(0, 4, 8)","[9, 3, 5, 2, 1]"
51,O Win,O,8,False,"(0, 1, 2)","[5, 7, 9, 1, 4, 3, 8, 2]"
52,X Win,X,7,False,"(0, 4, 8)","[2, 7, 9, 6, 5, 3, 1]"
53,X Win,X,7,False,"(2, 4, 6)","[3, 4, 6, 1, 5, 8, 7]"
54,X Win,X,7,False,"(0, 1, 2)","[4, 6, 2, 9, 1, 8, 3]"
55,X Win,X,5,False,"(1, 4, 7)","[8, 4, 2, 6, 5]"
56,X Win,X,9,False,"(2, 4, 6)","[5, 4, 2, 1, 6, 9, 7, 8, 3]"
57,X Win,X,9,False,"(0, 4, 8)","[5, 7, 8, 6, 4, 3, 1, 2, 9]"
58,X Win,X,7,False,"(0, 4, 8)","[3, 6, 1, 2, 9, 8, 5]"
59,O Win,O,6,False,"(6, 7, 8)","[6, 8, 5, 7, 1, 9]"
60,X Win,X,5,False,"(0, 3, 6)","[4, 6, 1, 9, 7]"
61,X Win,X,9,False,"(0, 1, 2)","[1, 5, 4, 7, 2, 8, 9, 6, 3]"
62,X Win,X,7,False,"(2, 4, 6)","[5, 6, 8, 4, 3, 9, 7]"
63,X Win,X,5,False,"(1, 4, 7)","[5, 3, 2, 7, 8]"
64,X Win,X,9,False,"(0, 4, 8)","[3, 6, 5, 8, 1, 7, 4, 2, 9]"
65,O Win,O,8,False,"(0, 4, 8)","[6, 9, 4, 5, 2, 8, 7, 1]"
66,O Win,O,8,False,"(2, 5, 8)","[2, 6, 7, 9, 8, 4, 1, 3]"
67,X Win,X,7,False,"(2, 5, 8)","[5, 4, 9, 2, 3, 1, 6]"
68,X Win,X,7,False,"(3, 4, 5)","[4, 9, 6, 1, 7, 8, 5]"
69,Draw,None,9,True,None,"[4, 8, 5, 6, 2, 3, 9, 1, 7]"
70,O Win,O,8,False,"(2, 5, 8)","[7, 4, 2, 9, 8, 6, 1, 3]"
71,X Win,X,9,False,"(0, 1, 2)","[2, 9, 3, 6, 8, 5, 4, 7, 1]"
72,X Win,X,7,False,"(1, 4, 7)","[3, 9, 5, 4, 2, 7, 8]"
73,X Win,X,7,False,"(0, 1, 2)","[8, 4, 3, 6, 1, 7, 2]"
74,X Win,X,7,False,"(0, 1, 2)","[5, 7, 3, 8, 1, 4, 2]"
75,X Win,X,9,False,"(3, 4, 5)","[4, 8, 7, 2, 3, 1, 6, 9, 5]"
76,X Win,X,9,False,"(3, 4, 5)","[9, 8, 4, 1, 3, 7, 5, 2, 6]"
77,O Win,O,6,False,"(0, 4, 8)","[8, 1, 4, 5, 7, 9]"
78,X Win,X,7,False,"(2, 5, 8)","[9, 4, 5, 2, 6, 8, 3]"
79,X Win,X,7,False,"(3, 4, 5)","[1, 8, 4, 9, 6, 3, 5]"
80,X Win,X,5,False,"(2, 5, 8)","[3, 1, 6, 8, 9]"
81,O Win,O,6,False,"(2, 5, 8)","[1, 3, 8, 6, 4, 9]"
82,O Win,O,6,False,"(0, 3, 6)","[3, 1, 5, 7, 6, 4]"
83,O Win,O,8,False,"(0, 4, 8)","[8, 6, 3, 5, 4, 9, 2, 1]"
84,O Win,O,8,False,"(3, 4, 5)","[8, 1, 7, 6, 2, 5, 3, 4]"
85,O Win,O,8,False,"(1, 4, 7)","[1, 2, 4, 5, 3, 7, 6, 8]"
86,O Win,O,8,False,"(0, 1, 2)","[8, 2, 6, 3, 7, 5, 4, 1]"
87,Draw,None,9,True,None,"[2, 4, 5, 1, 9, 3, 7, 8, 6]"
88,X Win,X,9,False,"(2, 4, 6)","[4, 2, 7, 9, 3, 1, 8, 6, 5]"
89,O Win,O,8,False,"(1, 4, 7)","[1, 7, 6, 5, 4, 2, 9, 8]"
90,X Win,X,9,False,"(0, 1, 2)","[1, 8, 9, 5, 2, 7, 4, 6, 3]"
91,O Win,O,6,False,"(2, 5, 8)","[7, 3, 8, 6, 4, 9]"
92,X Win,X,7,False,"(1, 4, 7)","[8, 7, 9, 6, 5, 3, 2]"
93,Draw,None,9,True,None,"[4, 2, 5, 7, 3, 9, 8, 6, 1]"
94,X Win,X,7,False,"(0, 1, 2)","[1, 9, 8, 4, 3, 7, 2]"
95,X Win,X,5,False,"(2, 5, 8)","[6, 5, 3, 4, 9]"
96,Draw,None,9,True,None,"[5, 1, 7, 3, 2, 6, 9, 8, 4]"
97,O Win,O,8,False,"(1, 4, 7)","[9, 4, 7, 5, 6, 8, 1, 2]"
98,X Win,X,7,False,"(1, 4, 7)","[5, 4, 6, 9, 2, 7, 8]"
99,O Win,O,6,False,"(6, 7, 8)","[6, 9, 5, 7, 3, 8]"
100,X Win,X,9,False,"(0, 1, 2)","[9, 6, 3, 8, 5, 4, 2, 7, 1]"
101,Draw,None,9,True,None,"[2, 5, 4, 1, 9, 6, 3, 7, 8]"
102,X Win,X,9,False,"(6, 7, 8)","[5, 6, 1, 3, 7, 4, 8, 2, 9]"
103,X Win,X,7,False,"(0, 4, 8)","[1, 4, 5, 2, 3, 8, 9]"
104,Draw,None,9,True,None,"[3, 9, 1, 2, 8, 6, 5, 7, 4]"
105,X Win,X,9,False,"(0, 3, 6)","[6, 3, 1, 5, 8, 2, 4, 9, 7]"
106,Draw,None,9,True,None,"[2, 1, 4, 5, 9, 7, 3, 6, 8]"
107,X Win,X,9,False,"(0, 4, 8)","[9, 7, 5, 6, 8, 2, 4, 3, 1]"
108,X Win,X,7,False,"(6, 7, 8)","[8, 5, 9, 6, 4, 3, 7]"
109,X Win,X,5,False,"(0, 4, 8)","[1, 3, 9, 4, 5]"
110,X Win,X,7,False,"(2, 4, 6)","[5, 2, 3, 4, 6, 1, 7]"
111,X Win,X,7,False,"(2, 4, 6)","[1, 8, 5, 9, 7, 6, 3]"
112,X Win,X,9,False,"(0, 3, 6)","[1, 5, 4, 9, 6, 8, 2, 3, 7]"
113,O Win,O,8,False,"(1, 4, 7)","[4, 8, 1, 7, 3, 5, 6, 2]"
114,X Win,X,9,False,"(1, 4, 7)","[2, 1, 4, 6, 9, 7, 5, 3, 8]"
115,Draw,None,9,True,None,"[5, 8, 3, 7, 9, 6, 2, 1, 4]"
116,X Win,X,7,False,"(0, 3, 6)","[7, 6, 5, 3, 1, 2, 4]"
117,X Win,X,5,False,"(0, 3, 6)","[1, 6, 7, 2, 4]"
118,X Win,X,7,False,"(2, 4, 6)","[8, 9, 3, 2, 7, 6, 5]"
119,X Win,X,7,False,"(2, 4, 6)","[8, 2, 5, 4, 7, 6, 3]"
120,X Win,X,5,False,"(1, 4, 7)","[2, 4, 5, 7, 8]"
121,X Win,X,5,False,"(0, 4, 8)","[5, 8, 9, 6, 1]"
122,O Win,O,8,False,"(0, 1, 2)","[8, 2, 4, 5, 6, 1, 7, 3]"
123,Draw,None,9,True,None,"[9, 8, 4, 1, 3, 6, 7, 5, 2]"
124,O Win,O,8,False,"(6, 7, 8)","[1, 5, 4, 8, 3, 7, 6, 9]"
125,O Win,O,8,False,"(2, 4, 6)","[2, 1, 8, 7, 4, 5, 6, 3]"
126,O Win,O,8,False,"(2, 4, 6)","[9, 7, 1, 3, 2, 8, 4, 5]"
127,X Win,X,9,False,"(0, 1, 2)","[8, 5, 6, 9, 3, 7, 2, 4, 1]"
128,X Win,X,7,False,"(0, 4, 8)","[8, 3, 5, 2, 9, 4, 1]"
129,X Win,X,7,False,"(3, 4, 5)","[5, 8, 3, 7, 4, 1, 6]"
130,Draw,None,9,True,None,"[5, 9, 8, 2, 6, 7, 3, 4, 1]"
131,Draw,None,9,True,None,"[8, 6, 9, 2, 3, 7, 1, 5, 4]"
132,X Win,X,7,False,"(2, 4, 6)","[6, 9, 7, 4, 5, 2, 3]"
133,X Win,X,9,False,"(0, 4, 8)","[1, 4, 7, 8, 5, 2, 6, 3, 9]"
134,X Win,X,9,False,"(2, 4, 6)","[1, 4, 6, 9, 3, 2, 7, 8, 5]"
135,X Win,X,5,False,"(6, 7, 8)","[7, 2, 9, 4, 8]"
136,X Win,X,9,False,"(2, 4, 6)","[7, 6, 8, 9, 4, 1, 5, 2, 3]"
137,X Win,X,7,False,"(6, 7, 8)","[5, 4, 8, 1, 7, 2, 9]"
138,O Win,O,8,False,"(6, 7, 8)","[2, 9, 3, 8, 5, 1, 4, 7]"
139,O Win,O,8,False,"(2, 5, 8)","[1, 6, 4, 5, 8, 3, 2, 9]"
140,X Win,X,9,False,"(2, 5, 8)","[3, 4, 2, 1, 9, 8, 7, 5, 6]"
141,O Win,O,8,False,"(0, 4, 8)","[3, 5, 6, 9, 4, 8, 2, 1]"
142,O Win,O,8,False,"(0, 4, 8)","[8, 5, 7, 6, 2, 1, 4, 9]"
143,Draw,None,9,True,None,"[5, 8, 7, 3, 6, 4, 1, 9, 2]"
144,O Win,O,8,False,"(2, 4, 6)","[2, 5, 6, 8, 4, 7, 9, 3]"
145,X Win,X,7,False,"(0, 3, 6)","[1, 8, 4, 2, 9, 3, 7]"
146,X Win,X,5,False,"(6, 7, 8)","[8, 5, 9, 2, 7]"
147,X Win,X,7,False,"(6, 7, 8)","[6, 4, 8, 2, 9, 5, 7]"
148,X Win,X,9,False,"(2, 4, 6)","[3, 2, 8, 9, 1, 6, 5, 4, 7]"
149,X Win,X,9,False,"(0, 4, 8)","[3, 2, 5, 6, 8, 4, 1, 7, 9]"
150,Draw,None,9,True,None,"[9, 5, 8, 2, 4, 7, 3, 6, 1]"
151,X Win,X,9,False,"(2, 4, 6)","[8, 2, 3, 4, 7, 6, 1, 9, 5]"
152,Draw,None,9,True,None,"[5, 2, 6, 4, 7, 9, 8, 3, 1]"
153,Draw,None,9,True,None,"[4, 9, 1, 7, 8, 5, 6, 2, 3]"
154,O Win,O,8,False,"(3, 4, 5)","[8, 5, 7, 4, 1, 3, 2, 6]"
155,X Win,X,7,False,"(0, 3, 6)","[5, 9, 1, 2, 4, 6, 7]"
156,X Win,X,7,False,"(2, 4, 6)","[8, 6, 7, 9, 5, 4, 3]"
157,X Win,X,9,False,"(3, 4, 5)","[3, 8, 7, 1, 6, 9, 4, 2, 5]"
158,X Win,X,5,False,"(3, 4, 5)","[4, 9, 5, 2, 6]"
159,X Win,X,7,False,"(3, 4, 5)","[2, 7, 6, 9, 4, 1, 5]"
160,X Win,X,7,False,"(0, 4, 8)","[5, 4, 1, 7, 2, 6, 9]"
161,X Win,X,9,False,"(6, 7, 8)","[1, 2, 9, 5, 4, 6, 8, 3, 7]"
162,X Win,X,5,False,"(2, 5, 8)","[9, 4, 6, 2, 3]"
163,O Win,O,6,False,"(2, 4, 6)","[6, 3, 9, 7, 1, 5]"
164,O Win,O,8,False,"(3, 4, 5)","[3, 4, 7, 5, 2, 1, 9, 6]"
165,O Win,O,6,False,"(0, 3, 6)","[3, 1, 5, 4, 9, 7]"
166,Draw,None,9,True,None,"[1, 4, 5, 2, 6, 9, 8, 3, 7]"
167,O Win,O,8,False,"(0, 1, 2)","[8, 9, 7, 3, 6, 1, 4, 2]"
168,O Win,O,6,False,"(2, 5, 8)","[1, 6, 5, 9, 2, 3]"
169,O Win,O,8,False,"(2, 5, 8)","[8, 7, 4, 9, 1, 6, 5, 3]"
170,X Win,X,7,False,"(3, 4, 5)","[2, 3, 5, 8, 4, 1, 6]"
171,X Win,X,9,False,"(0, 4, 8)","[5, 7, 4, 8, 9, 3, 2, 6, 1]"
172,O Win,O,8,False,"(6, 7, 8)","[2, 5, 6, 7, 3, 9, 4, 8]"
173,O Win,O,8,False,"(0, 4, 8)","[7, 8, 6, 1, 4, 9, 3, 5]"
174,O Win,O,8,False,"(2, 4, 6)","[6, 3, 8, 5, 1, 2, 4, 7]"
175,O Win,O,8,False,"(0, 1, 2)","[7, 2, 8, 9, 4, 3, 6, 1]"
176,X Win,X,7,False,"(6, 7, 8)","[9, 6, 7, 1, 5, 4, 8]"
177,Draw,None,9,True,None,"[7, 1, 4, 8, 5, 6, 2, 3, 9]"
178,X Win,X,7,False,"(1, 4, 7)","[8, 4, 9, 1, 5, 6, 2]"
179,X Win,X,7,False,"(6, 7, 8)","[5, 4, 9, 6, 8, 1, 7]"
180,X Win,X,5,False,"(2, 4, 6)","[5, 1, 3, 6, 7]"
181,O Win,O,8,False,"(2, 4, 6)","[6, 7, 1, 3, 4, 9, 2, 5]"
182,O Win,O,8,False,"(2, 5, 8)","[1, 3, 8, 7, 4, 9, 5, 6]"
183,Draw,None,9,True,None,"[6, 3, 4, 5, 7, 1, 2, 8, 9]"
184,X Win,X,9,False,"(1, 4, 7)","[1, 3, 5, 7, 8, 9, 6, 4, 2]"
185,X Win,X,5,False,"(0, 4, 8)","[5, 4, 9, 7, 1]"
186,X Win,X,7,False,"(0, 4, 8)","[6, 8, 1, 4, 9, 7, 5]"
187,Draw,None,9,True,None,"[5, 1, 3, 7, 9, 2, 4, 6, 8]"
188,O Win,O,6,False,"(2, 4, 6)","[4, 3, 9, 5, 6, 7]"
189,X Win,X,9,False,"(2, 4, 6)","[2, 1, 6, 9, 7, 4, 3, 8, 5]"
190,X Win,X,7,False,"(0, 1, 2)","[9, 6, 1, 5, 2, 8, 3]"
191,X Win,X,5,False,"(6, 7, 8)","[8, 2, 9, 4, 7]"
192,X Win,X,7,False,"(0, 3, 6)","[7, 8, 6, 9, 4, 3, 1]"
193,Draw,None,9,True,None,"[7, 1, 4, 3, 9, 8, 6, 5, 2]"
194,X Win,X,7,False,"(2, 4, 6)","[7, 2, 3, 6, 9, 8, 5]"
195,Draw,None,9,True,None,"[2, 8, 9, 4, 5, 3, 6, 1, 7]"
196,X Win,X,5,False,"(2, 5, 8)","[9, 2, 6, 7, 3]"
197,X Win,X,9,False,"(1, 4, 7)","[6, 7, 8, 9, 2, 3, 1, 4, 5]"
198,X Win,X,5,False,"(0, 3, 6)","[4, 3, 7, 2, 1]"
199,Draw,None,9,True,None,"[3, 9, 5, 7, 8, 6, 4, 2, 1]"
200,X Win,X,7,False,"(0, 3, 6)","[3, 9, 1, 6, 7, 5, 4]"
201,X Win,X,7,False,"(3, 4, 5)","[1, 7, 6, 2, 5, 9, 4]"
202,X Win,X,7,False,"(0, 4, 8)","[1, 2, 5, 6, 3, 4, 9]"
203,Draw,None,9,True,None,"[9, 7, 4, 6, 8, 1, 3, 2, 5]"
204,X Win,X,9,False,"(1, 4, 7)","[8, 3, 1, 6, 2, 7, 9, 4, 5]"
205,X Win,X,7,False,"(0, 3, 6)","[1, 5, 8, 6, 7, 3, 4]"
206,X Win,X,7,False,"(2, 5, 8)","[6, 5, 4, 7, 3, 1, 9]"
207,X Win,X,7,False,"(3, 4, 5)","[6, 2, 4, 1, 9, 8, 5]"
208,Draw,None,9,True,None,"[5, 3, 4, 1, 9, 6, 7, 8, 2]"
209,X Win,X,5,False,"(2, 4, 6)","[3, 2, 5, 8, 7]"
210,X Win,X,9,False,"(1, 4, 7)","[6, 3, 8, 9, 7, 1, 5, 4, 2]"
211,X Win,X,7,False,"(3, 4, 5)","[1, 7, 4, 3, 5, 8, 6]"
212,O Win,O,8,False,"(2, 4, 6)","[4, 5, 2, 3, 1, 8, 6, 7]"
213,Draw,None,9,True,None,"[6, 3, 7, 5, 2, 4, 1, 8, 9]"
214,O Win,O,6,False,"(6, 7, 8)","[1, 8, 4, 9, 3, 7]"
215,X Win,X,9,False,"(1, 4, 7)","[5, 9, 2, 7, 3, 6, 4, 1, 8]"
216,O Win,O,6,False,"(2, 5, 8)","[8, 9, 7, 3, 5, 6]"
217,X Win,X,7,False,"(0, 1, 2)","[3, 5, 9, 7, 2, 6, 1]"
218,O Win,O,8,False,"(0, 1, 2)","[8, 6, 5, 1, 9, 2, 4, 3]"
219,X Win,X,7,False,"(0, 1, 2)","[3, 6, 5, 8, 2, 9, 1]"
220,X Win,X,9,False,"(3, 4, 5)","[4, 9, 3, 1, 7, 2, 6, 8, 5]"
221,X Win,X,5,False,"(0, 3, 6)","[7, 2, 4, 3, 1]"
222,O Win,O,8,False,"(1, 4, 7)","[6, 2, 9, 8, 4, 3, 1, 5]"
223,X Win,X,7,False,"(3, 4, 5)","[5, 9, 7, 2, 6, 8, 4]"
224,X Win,X,7,False,"(0, 4, 8)","[1, 3, 2, 6, 5, 7, 9]"
225,X Win,X,7,False,"(0, 1, 2)","[9, 7, 1, 4, 3, 6, 2]"
226,O Win,O,8,False,"(2, 4, 6)","[1, 5, 6, 9, 8, 7, 2, 3]"
227,X Win,X,5,False,"(6, 7, 8)","[8, 1, 7, 6, 9]"
228,O Win,O,8,False,"(6, 7, 8)","[4, 3, 5, 7, 1, 8, 2, 9]"
229,Draw,None,9,True,None,"[3, 2, 7, 5, 1, 4, 8, 9, 6]"
230,X Win,X,7,False,"(0, 1, 2)","[7, 6, 3, 9, 1, 5, 2]"
231,Draw,None,9,True,None,"[6, 4, 8, 9, 1, 5, 2, 3, 7]"
232,O Win,O,8,False,"(2, 4, 6)","[9, 6, 8, 7, 2, 5, 4, 3]"
233,Draw,None,9,True,None,"[3, 4, 1, 9, 7, 2, 6, 5, 8]"
234,Draw,None,9,True,None,"[4, 1, 5, 6, 9, 8, 7, 3, 2]"
235,X Win,X,7,False,"(0, 3, 6)","[1, 5, 4, 6, 2, 8, 7]"
236,X Win,X,5,False,"(1, 4, 7)","[2, 7, 5, 6, 8]"
237,O Win,O,6,False,"(3, 4, 5)","[7, 6, 2, 5, 8, 4]"
238,O Win,O,8,False,"(0, 1, 2)","[9, 5, 8, 1, 6, 2, 4, 3]"
239,Draw,None,9,True,None,"[9, 5, 3, 1, 2, 7, 8, 6, 4]"
240,X Win,X,5,False,"(1, 4, 7)","[8, 7, 2, 9, 5]"
241,O Win,O,6,False,"(6, 7, 8)","[6, 9, 1, 8, 4, 7]"
242,X Win,X,7,False,"(1, 4, 7)","[5, 1, 2, 9, 7, 6, 8]"
243,X Win,X,7,False,"(2, 4, 6)","[3, 1, 4, 8, 7, 2, 5]"
244,Draw,None,9,True,None,"[2, 5, 9, 8, 4, 6, 3, 1, 7]"
245,O Win,O,6,False,"(3, 4, 5)","[8, 6, 3, 5, 1, 4]"
246,X Win,X,7,False,"(0, 4, 8)","[9, 6, 4, 3, 5, 2, 1]"
247,X Win,X,9,False,"(2, 4, 6)","[1, 4, 6, 8, 7, 2, 5, 9, 3]"
248,Draw,None,9,True,None,"[4, 6, 8, 5, 2, 1, 3, 7, 9]"
249,X Win,X,7,False,"(2, 4, 6)","[3, 9, 1, 8, 5, 6, 7]"
250,Draw,None,9,True,None,"[2, 6, 4, 3, 5, 8, 9, 1, 7]"
251,X Win,X,9,False,"(0, 4, 8)","[4, 3, 2, 7, 1, 8, 9, 6, 5]"
252,X Win,X,9,False,"(3, 4, 5)","[9, 3, 6, 1, 2, 7, 5, 8, 4]"
253,O Win,O,8,False,"(1, 4, 7)","[7, 2, 3, 5, 1, 9, 6, 8]"
254,X Win,X,7,False,"(2, 4, 6)","[3, 4, 9, 2, 7, 1, 5]"
255,O Win,O,8,False,"(0, 1, 2)","[9, 3, 4, 2, 5, 7, 8, 1]"
256,O Win,O,8,False,"(2, 4, 6)","[6, 5, 9, 1, 4, 3, 8, 7]"
257,X Win,X,9,False,"(0, 4, 8)","[3, 6, 7, 8, 1, 4, 9, 2, 5]"
258,X Win,X,5,False,"(2, 5, 8)","[6, 1, 9, 2, 3]"
259,X Win,X,7,False,"(0, 4, 8)","[1, 6, 8, 3, 9, 7, 5]"
260,X Win,X,5,False,"(0, 3, 6)","[1, 9, 7, 6, 4]"
261,X Win,X,9,False,"(2, 4, 6)","[5, 9, 2, 8, 6, 4, 3, 1, 7]"
262,X Win,X,5,False,"(2, 4, 6)","[3, 9, 5, 6, 7]"
263,X Win,X,5,False,"(3, 4, 5)","[4, 7, 6, 2, 5]"
264,X Win,X,5,False,"(3, 4, 5)","[6, 7, 4, 2, 5]"
265,O Win,O,6,False,"(0, 1, 2)","[9, 2, 4, 3, 7, 1]"
266,Draw,None,9,True,None,"[5, 9, 2, 3, 1, 4, 7, 8, 6]"
267,X Win,X,9,False,"(6, 7, 8)","[4, 3, 9, 5, 8, 6, 1, 2, 7]"
268,X Win,X,9,False,"(3, 4, 5)","[9, 8, 4, 3, 6, 1, 2, 7, 5]"
269,X Win,X,5,False,"(0, 3, 6)","[4, 5, 7, 3, 1]"
270,X Win,X,7,False,"(0, 4, 8)","[1, 6, 5, 8, 7, 4, 9]"
271,Draw,None,9,True,None,"[1, 3, 6, 4, 7, 8, 5, 9, 2]"
272,X Win,X,7,False,"(2, 5, 8)","[7, 1, 6, 8, 3, 5, 9]"
273,X Win,X,9,False,"(2, 5, 8)","[5, 2, 6, 8, 7, 4, 9, 1, 3]"
274,X Win,X,9,False,"(0, 3, 6)","[2, 8, 4, 5, 9, 6, 1, 3, 7]"
275,X Win,X,9,False,"(3, 4, 5)","[9, 1, 2, 3, 5, 7, 6, 8, 4]"
276,X Win,X,7,False,"(3, 4, 5)","[9, 3, 4, 7, 5, 2, 6]"
277,X Win,X,7,False,"(2, 5, 8)","[5, 7, 6, 8, 9, 4, 3]"
278,X Win,X,9,False,"(2, 4, 6)","[5, 9, 8, 1, 4, 6, 7, 2, 3]"
279,O Win,O,8,False,"(0, 1, 2)","[5, 1, 7, 6, 4, 3, 9, 2]"
280,X Win,X,9,False,"(0, 3, 6)","[8, 3, 6, 9, 7, 5, 1, 2, 4]"
281,X Win,X,7,False,"(0, 1, 2)","[2, 5, 1, 7, 6, 9, 3]"
282,X Win,X,7,False,"(2, 4, 6)","[7, 4, 5, 8, 9, 6, 3]"
283,X Win,X,7,False,"(6, 7, 8)","[1, 4, 7, 3, 9, 6, 8]"
284,X Win,X,7,False,"(2, 5, 8)","[8, 7, 3, 2, 6, 5, 9]"
285,Draw,None,9,True,None,"[6, 5, 7, 4, 2, 3, 8, 9, 1]"
286,X Win,X,7,False,"(2, 4, 6)","[5, 6, 8, 2, 7, 4, 3]"
287,X Win,X,5,False,"(2, 5, 8)","[6, 5, 3, 1, 9]"
288,X Win,X,9,False,"(0, 4, 8)","[9, 7, 4, 3, 2, 6, 1, 8, 5]"
289,X Win,X,9,False,"(3, 4, 5)","[6, 9, 7, 3, 5, 2, 1, 8, 4]"
290,Draw,None,9,True,None,"[3, 2, 7, 9, 8, 4, 1, 5, 6]"
291,O Win,O,8,False,"(0, 4, 8)","[4, 1, 2, 7, 6, 9, 3, 5]"
292,X Win,X,9,False,"(2, 4, 6)","[1, 4, 6, 9, 7, 8, 5, 2, 3]"
293,X Win,X,9,False,"(6, 7, 8)","[6, 5, 8, 1, 2, 4, 9, 3, 7]"
294,X Win,X,7,False,"(6, 7, 8)","[7, 3, 1, 6, 8, 4, 9]"
295,Draw,None,9,True,None,"[5, 1, 2, 6, 9, 3, 7, 8, 4]"
296,X Win,X,7,False,"(0, 4, 8)","[9, 8, 2, 6, 5, 4, 1]"
297,O Win,O,8,False,"(0, 4, 8)","[2, 7, 3, 9, 6, 5, 8, 1]"
298,X Win,X,9,False,"(1, 4, 7)","[1, 7, 9, 4, 8, 3, 2, 6, 5]"
299,O Win,O,6,False,"(3, 4, 5)","[9, 6, 1, 5, 2, 4]"
